customer_id,first_name,last_name,state,total_orders,units_purchased,lifetime_revenue,lifetime_profit,last_order_date,customer_name,repeat_customer
C000001,Noah,Patel,NJ,3,17,2283.83,914.3600000000001,2026-07-27 10:55:00,Noah Patel,True
C000002,Mia,Thomas,MO,3,24,3167.74,1206.5500000000002,2025-11-20 08:05:00,Mia Thomas,True
C000003,Olivia,Smith,PA,3,10,981.3100000000001,339.12,2026-06-24 09:29:00,Olivia Smith,True
C000004,Noah,Brown,GA,5,39,5999.75,1956.7,2026-07-07 22:05:00,Noah Brown,True
C000005,Ava,Wilson,NY,4,24,2939.37,1246.77,2026-02-17 11:06:00,Ava Wilson,True
C000006,James,Wilson,NJ,4,30,5877.66,2618.38,2026-09-10 14:36:00,James Wilson,True
C000007,Mason,Garcia,IL,5,35,5732.24,2435.2700000000004,2026-09-11 12:49:00,Mason Garcia,True
C000008,James,Miller,TX,3,10,2202.26,890.63,2026-02-06 10:22:00,James Miller,True
C000009,Liam,Lee,TX,1,13,1974.0400000000002,780.3000000000002,2025-02-10 14:12:00,Liam Lee,False
C000010,Noah,Lee,FL,1,3,516.19,200.11,2026-08-03 18:05:00,Noah Lee,False
C000011,Ava,Thomas,IA,4,26,4929.38,1957.5399999999997,2026-03-17 09:26:00,Ava Thomas,True
C000012,Sophia,Smith,VA,3,15,3032.4300000000003,897.7200000000001,2026-03-31 20:51:00,Sophia Smith,True
C000013,Mason,Lee,NJ,5,32,4096.24,1559.27,2026-08-17 09:44:00,Mason Lee,True
C000014,Ava,Taylor,VA,7,48,6854.81,2878.49,2026-08-03 21:10:00,Ava Taylor,True
C000015,Noah,Brown,IA,1,11,2318.04,1001.45,2025-09-09 22:22:00,Noah Brown,False
C000016,Lucas,Taylor,IA,2,19,3386.52,1457.1399999999999,2026-04-22 09:16:00,Lucas Taylor,True
C000017,Ethan,Brown,NC,7,45,6212.14,1983.96,2026-05-06 16:26:00,Ethan Brown,True
C000018,Isabella,Smith,NJ,1,5,556.28,220.23999999999995,2026-03-17 16:48:00,Isabella Smith,False
C000019,Liam,Johnson,PA,4,27,4431.17,1676.96,2026-03-15 21:37:00,Liam Johnson,True
C000020,Isabella,Thomas,IA,4,21,2870.5,1018.0699999999999,2026-03-17 21:10:00,Isabella Thomas,True
C000021,Ava,Brown,NC,2,6,794.98,209.40999999999997,2026-02-16 20:00:00,Ava Brown,True
C000022,Sophia,Garcia,NC,6,40,6646.29,2835.2000000000003,2026-09-03 18:47:00,Sophia Garcia,True
C000023,James,Lee,NY,1,12,2522.98,1137.5,2025-04-18 15:14:00,James Lee,False
C000024,Sophia,Taylor,IL,5,39,6454.4,2329.61,2026-07-24 14:15:00,Sophia Taylor,True
C000025,Mia,Brown,IA,4,16,2798.23,957.88,2026-08-06 18:11:00,Mia Brown,True
C000026,Sophia,Anderson,NY,4,30,5646.78,2113.19,2025-11-04 15:22:00,Sophia Anderson,True
C000027,Mia,Wilson,MO,10,53,7160.79,2676.6800000000003,2026-06-02 10:04:00,Mia Wilson,True
C000028,Noah,Johnson,GA,2,7,1124.47,457.43,2026-04-16 22:24:00,Noah Johnson,True
C000029,Sophia,Anderson,NJ,4,31,3000.94,1024.32,2026-08-08 14:02:00,Sophia Anderson,True
C000030,Mason,Davis,FL,3,21,3916.16,1412.38,2026-09-11 09:30:00,Mason Davis,True
C000031,Isabella,Thomas,GA,7,45,7458.68,3278.1899999999996,2026-07-13 15:10:00,Isabella Thomas,True
C000032,Emma,Taylor,CA,4,27,3389.56,1021.2800000000001,2026-09-10 09:52:00,Emma Taylor,True
C000033,Sophia,Johnson,IA,1,5,763.54,353.51,2026-06-10 10:53:00,Sophia Johnson,False
C000034,James,Garcia,PA,6,49,8410.12,3662.85,2026-05-24 17:18:00,James Garcia,True
C000035,Isabella,Garcia,VA,3,21,4158.31,1767.94,2026-05-01 12:39:00,Isabella Garcia,True
C000036,Mia,Wilson,NC,5,27,3663.77,1394.33,2026-06-18 16:51:00,Mia Wilson,True
