order_item_id,order_id,product_id,quantity,unit_price,discount_amount,gross_sales,net_sales,customer_id,order_status,order_timestamp,shipping_fee,product_name,category,subcategory,unit_cost,list_price,first_name,last_name,email,state,city,signup_date,order_date,profit
OI00000001,O0000001,P00081,2,81.39,0.0,162.78,162.78,C001208,cancelled,2026-05-13 11:40:00,2.81,Snacks 81,Grocery,Snacks,42.15,81.39,Sophia,Garcia,sophia.garcia1208@example.com,NJ,Jersey City,2026-03-10,2026-05-13,78.48
OI00000002,O0000002,P00084,2,294.01,88.2,588.02,499.82,C000705,refunded,2025-05-03 16:29:00,14.48,Cereal 84,Grocery,Cereal,146.47,294.01,Isabella,Garcia,isabella.garcia705@example.com,NY,Buffalo,2025-01-19,2025-05-03,206.88
OI00000003,O0000003,P00094,4,170.95,0.0,683.8,683.8,C004529,completed,2025-02-21 18:58:00,13.35,Tea 94,Grocery,Tea,116.61,170.95,Lucas,Taylor,lucas.taylor4529@example.com,NJ,Newark,2024-09-30,2025-02-21,217.35999999999996
OI00000004,O0000004,P00021,3,233.5,0.0,700.5,700.5,C000296,shipped,2025-08-19 17:09:00,5.28,Desk 21,Home,Desk,155.03,233.5,Ava,Davis,ava.davis296@example.com,GA,Savannah,2025-03-12,2025-08-19,235.40999999999997
OI00000005,O0000004,P00011,3,211.63,95.23,634.89,539.66,C000296,shipped,2025-08-19 17:09:00,5.28,Speaker 11,Electronics,Speaker,107.68,211.63,Ava,Davis,ava.davis296@example.com,GA,Savannah,2025-03-12,2025-08-19,216.61999999999995
OI00000006,O0000004,P00097,1,55.3,2.77,55.3,52.529999999999994,C000296,shipped,2025-08-19 17:09:00,5.28,Snacks 97,Grocery,Snacks,35.66,55.3,Ava,Davis,ava.davis296@example.com,GA,Savannah,2025-03-12,2025-08-19,16.869999999999997
OI00000007,O0000005,P00067,4,167.46,0.0,669.84,669.84,C001438,completed,2026-05-20 14:47:00,3.82,Dumbbells 67,Fitness,Dumbbells,113.76,167.46,Liam,Garcia,liam.garcia1438@example.com,MO,Kansas City,2025-06-29,2026-05-20,214.8
OI00000008,O0000005,P00033,2,56.35,0.0,112.7,112.7,C001438,completed,2026-05-20 14:47:00,3.82,Lamp 33,Home,Lamp,28.89,56.35,Liam,Garcia,liam.garcia1438@example.com,MO,Kansas City,2025-06-29,2026-05-20,54.92
OI00000009,O0000006,P00018,3,254.26,76.28,762.78,686.5,C002370,completed,2025-04-26 14:11:00,5.65,Speaker 18,Electronics,Speaker,131.24,254.26,Olivia,Thomas,olivia.thomas2370@example.com,FL,Miami,2024-11-08,2025-04-26,292.78
OI00000010,O0000006,P00035,4,224.83,0.0,899.32,899.32,C002370,completed,2025-04-26 14:11:00,5.65,Storage Box 35,Home,Storage Box,133.16,224.83,Olivia,Thomas,olivia.thomas2370@example.com,FL,Miami,2024-11-08,2025-04-26,366.68000000000006
OI00000011,O0000006,P00001,2,203.1,60.93,406.2,345.27,C002370,completed,2025-04-26 14:11:00,5.65,Smart Watch 1,Electronics,Smart Watch,122.7,203.1,Olivia,Thomas,olivia.thomas2370@example.com,FL,Miami,2024-11-08,2025-04-26,99.86999999999998
OI00000012,O0000007,P00038,3,234.51,70.35,703.53,633.18,C004421,processing,2025-07-27 12:18:00,4.53,Cookware 38,Home,Cookware,114.53,234.51,Mason,Thomas,mason.thomas4421@example.com,PA,Pittsburgh,2025-11-10,2025-07-27,289.5899999999999
OI00000013,O0000008,P00018,1,254.26,0.0,254.26,254.26,C004167,completed,2025-12-05 08:17:00,6.96,Speaker 18,Electronics,Speaker,131.24,254.26,Liam,Patel,liam.patel4167@example.com,TX,Dallas,2025-08-23,2025-12-05,123.01999999999998
OI00000014,O0000008,P00024,4,41.38,16.55,165.52,148.97,C004167,completed,2025-12-05 08:17:00,6.96,Storage Box 24,Home,Storage Box,24.27,41.38,Liam,Patel,liam.patel4167@example.com,TX,Dallas,2025-08-23,2025-12-05,51.89
OI00000015,O0000009,P00076,4,93.83,18.77,375.32,356.55,C002566,completed,2026-04-04 15:16:00,9.35,Resistance Band 76,Fitness,Resistance Band,47.85,93.83,Ava,Taylor,ava.taylor2566@example.com,MO,Kansas City,2024-10-03,2026-04-04,165.15
OI00000016,O0000009,P00043,2,96.15,0.0,192.3,192.3,C002566,completed,2026-04-04 15:16:00,9.35,Makeup 43,Beauty,Makeup,72.27,96.15,Ava,Taylor,ava.taylor2566@example.com,MO,Kansas City,2024-10-03,2026-04-04,47.76000000000002
OI00000017,O0000010,P00020,3,244.51,0.0,733.53,733.53,C002594,completed,2025-10-02 10:28:00,13.81,Speaker 20,Electronics,Speaker,117.09,244.51,Sophia,Brown,sophia.brown2594@example.com,IA,Des Moines,2026-03-06,2025-10-02,382.26
OI00000018,O0000010,P00015,2,88.23,0.0,176.46,176.46,C002594,completed,2025-10-02 10:28:00,13.81,Smart Watch 15,Electronics,Smart Watch,50.43,88.23,Sophia,Brown,sophia.brown2594@example.com,IA,Des Moines,2026-03-06,2025-10-02,75.60000000000001
OI00000019,O0000010,P00044,2,298.75,0.0,597.5,597.5,C002594,completed,2025-10-02 10:28:00,13.81,Hair Care 44,Beauty,Hair Care,168.48,298.75,Sophia,Brown,sophia.brown2594@example.com,IA,Des Moines,2026-03-06,2025-10-02,260.54
OI00000020,O0000010,P00038,4,234.51,0.0,938.04,938.04,C002594,completed,2025-10-02 10:28:00,13.81,Cookware 38,Home,Cookware,114.53,234.51,Sophia,Brown,sophia.brown2594@example.com,IA,Des Moines,2026-03-06,2025-10-02,479.91999999999996
OI00000021,O0000011,P00047,2,14.7,2.94,29.4,26.459999999999997,C004447,completed,2026-09-12 10:01:00,9.81,Hair Care 47,Beauty,Hair Care,9.89,14.7,Liam,Davis,liam.davis4447@example.com,VA,Norfolk,2024-05-25,2026-09-12,6.679999999999996
OI00000022,O0000011,P00050,3,75.23,0.0,225.69,225.69,C004447,completed,2026-09-12 10:01:00,9.81,Fragrance 50,Beauty,Fragrance,44.83,75.23,Liam,Davis,liam.davis4447@example.com,VA,Norfolk,2024-05-25,2026-09-12,91.19999999999999
OI00000023,O0000012,P00018,2,254.26,25.43,508.52,483.09,C003363,completed,2025-06-05 17:20:00,4.73,Speaker 18,Electronics,Speaker,131.24,254.26,Mia,Taylor,mia.taylor3363@example.com,IL,Springfield,2026-02-17,2025-06-05,220.60999999999996
